City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
10,iqaluit,63.7506,-68.5145,-21.84,69,100,3.09,CA,"{'coord': {'lon': -68.5145, 'lat': 63.7506}, 'weather': [{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}], 'base': 'stations', 'main': {'temp': -21.84, 'feels_like': -28.84, 'temp_min': -22.15, 'temp_max': -21.84, 'pressure': 999, 'humidity': 69, 'sea_level': 999, 'grnd_level': 993}, 'visibility': 8047, 'wind': {'speed': 3.09, 'deg': 320}, 'clouds': {'all': 100}, 'dt': 1738521176, 'sys': {'type': 2, 'id': 47658, 'country': 'CA', 'sunrise': 1738501678, 'sunset': 1738528053}, 'timezone': -18000, 'id': 5983720, 'name': 'Iqaluit', 'cod': 200}"
11,grytviken,-54.2811,-36.5092,8.11,84,83,3.79,GS,"{'coord': {'lon': -36.5092, 'lat': -54.2811}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 8.11, 'feels_like': 5.79, 'temp_min': 8.11, 'temp_max': 8.11, 'pressure': 1006, 'humidity': 84, 'sea_level': 1006, 'grnd_level': 1002}, 'visibility': 8922, 'wind': {'speed': 3.79, 'deg': 256, 'gust': 4.98}, 'clouds': {'all': 83}, 'dt': 1738521177, 'sys': {'country': 'GS', 'sunrise': 1738479259, 'sunset': 1738535109}, 'timezone': -7200, 'id': 3426466, 'name': 'Grytviken', 'cod': 200}"
12,vorgashor,67.5833,63.95,-27.66,86,7,3.31,RU,"{'coord': {'lon': 63.95, 'lat': 67.5833}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': -27.66, 'feels_like': -34.66, 'temp_min': -27.66, 'temp_max': -27.66, 'pressure': 1043, 'humidity': 86, 'sea_level': 1043, 'grnd_level': 1018}, 'visibility': 10000, 'wind': {'speed': 3.31, 'deg': 72, 'gust': 5.88}, 'clouds': {'all': 7}, 'dt': 1738521178, 'sys': {'country': 'RU', 'sunrise': 1738471994, 'sunset': 1738494149}, 'timezone': 10800, 'id': 1486913, 'name': 'Vorgashor', 'cod': 200}"
13,jamestown,42.097,-79.2353,-2.21,61,100,6.17,US,"{'coord': {'lon': -79.2353, 'lat': 42.097}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': -2.8, 'feels_like': -9.1, 'temp_min': -3.2, 'temp_max': -2.21, 'pressure': 1019, 'humidity': 61, 'sea_level': 1019, 'grnd_level': 958}, 'visibility': 10000, 'wind': {'speed': 6.17, 'deg': 180, 'gust': 9.26}, 'clouds': {'all': 100}, 'dt': 1738521180, 'sys': {'type': 2, 'id': 2008828, 'country': 'US', 'sunrise': 1738499322, 'sunset': 1738535556}, 'timezone': -18000, 'id': 5122534, 'name': 'Jamestown', 'cod': 200}"
14,hermanus,-34.4187,19.2345,19.33,79,0,4.2,ZA,"{'coord': {'lon': 19.2345, 'lat': -34.4187}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 19.33, 'feels_like': 19.38, 'temp_min': 19.33, 'temp_max': 19.33, 'pressure': 1016, 'humidity': 79, 'sea_level': 1016, 'grnd_level': 1013}, 'visibility': 10000, 'wind': {'speed': 4.2, 'deg': 268, 'gust': 5.85}, 'clouds': {'all': 0}, 'dt': 1738521181, 'sys': {'type': 2, 'id': 2006131, 'country': 'ZA', 'sunrise': 1738469085, 'sunset': 1738518523}, 'timezone': 7200, 'id': 3366880, 'name': 'Hermanus', 'cod': 200}"
15,blackmans bay,-43.0167,147.3167,17.07,89,19,0.45,AU,"{'coord': {'lon': 147.3167, 'lat': -43.0167}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}], 'base': 'stations', 'main': {'temp': 16.92, 'feels_like': 16.99, 'temp_min': 16.4, 'temp_max': 17.07, 'pressure': 1014, 'humidity': 89, 'sea_level': 1014, 'grnd_level': 996}, 'visibility': 10000, 'wind': {'speed': 0.45, 'deg': 338, 'gust': 0.89}, 'clouds': {'all': 19}, 'dt': 1738521182, 'sys': {'type': 2, 'id': 2011256, 'country': 'AU', 'sunrise': 1738523700, 'sunset': 1738575239}, 'timezone': 39600, 'id': 2175527, 'name': 'Blackmans Bay', 'cod': 200}"
16,temirlanovka,42.5994,69.2633,-2.7,71,0,3.4,KZ,"{'coord': {'lon': 69.2633, 'lat': 42.5994}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': -2.7, 'feels_like': -7.11, 'temp_min': -2.7, 'temp_max': -2.7, 'pressure': 1029, 'humidity': 71, 'sea_level': 1029, 'grnd_level': 990}, 'visibility': 10000, 'wind': {'speed': 3.4, 'deg': 67, 'gust': 5.61}, 'clouds': {'all': 0}, 'dt': 1738521183, 'sys': {'country': 'KZ', 'sunrise': 1738463775, 'sunset': 1738499818}, 'timezone': 18000, 'id': 1518266, 'name': 'Temirlanovka', 'cod': 200}"
17,port-aux-francais,-49.35,70.2167,3.3,97,100,23.68,TF,"{'coord': {'lon': 70.2167, 'lat': -49.35}, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}], 'base': 'stations', 'main': {'temp': 3.3, 'feels_like': -3.7, 'temp_min': 3.3, 'temp_max': 3.3, 'pressure': 973, 'humidity': 97, 'sea_level': 973, 'grnd_level': 971}, 'visibility': 295, 'wind': {'speed': 23.68, 'deg': 151, 'gust': 26.44}, 'rain': {'1h': 0.48}, 'clouds': {'all': 100}, 'dt': 1738521184, 'sys': {'country': 'TF', 'sunrise': 1738454678, 'sunset': 1738508456}, 'timezone': 18000, 'id': 1546102, 'name': 'Port-aux-Français', 'cod': 200}"
18,badger,64.8,-147.5333,-13.07,85,100,0.0,US,"{'coord': {'lon': -147.5333, 'lat': 64.8}, 'weather': [{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}], 'base': 'stations', 'main': {'temp': -14.13, 'feels_like': -14.13, 'temp_min': -15.35, 'temp_max': -13.07, 'pressure': 1040, 'humidity': 85, 'sea_level': 1040, 'grnd_level': 1020}, 'visibility': 10000, 'wind': {'speed': 0, 'deg': 0}, 'clouds': {'all': 100}, 'dt': 1738521185, 'sys': {'type': 1, 'id': 7684, 'country': 'US', 'sunrise': 1738521074, 'sunset': 1738546590}, 'timezone': -32400, 'id': 5879898, 'name': 'Badger', 'cod': 200}"
19,bethel,41.3712,-73.414,-3.32,63,0,2.06,US,"{'coord': {'lon': -73.414, 'lat': 41.3712}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}], 'base': 'stations', 'main': {'temp': -4.11, 'feels_like': -7.33, 'temp_min': -5.59, 'temp_max': -3.32, 'pressure': 1031, 'humidity': 63, 'sea_level': 1031, 'grnd_level': 1010}, 'visibility': 10000, 'wind': {'speed': 2.06, 'deg': 160}, 'clouds': {'all': 0}, 'dt': 1738521186, 'sys': {'type': 2, 'id': 2093006, 'country': 'US', 'sunrise': 1738497832, 'sunset': 1738534251}, 'timezone': -18000, 'id': 5282297, 'name': 'Bethel', 'cod': 200}"
20,tura,25.5198,90.2201,15.38,55,30,1.84,IN,"{'coord': {'lon': 90.2201, 'lat': 25.5198}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}], 'base': 'stations', 'main': {'temp': 15.38, 'feels_like': 14.41, 'temp_min': 15.38, 'temp_max': 15.38, 'pressure': 1012, 'humidity': 55, 'sea_level': 1012, 'grnd_level': 972}, 'visibility': 10000, 'wind': {'speed': 1.84, 'deg': 82, 'gust': 1.58}, 'clouds': {'all': 30}, 'dt': 1738521187, 'sys': {'country': 'IN', 'sunrise': 1738543297, 'sunset': 1738583050}, 'timezone': 19800, 'id': 1254046, 'name': 'Tura', 'cod': 200}"
21,acarau,-2.8856,-40.12,28.01,74,70,6.33,BR,"{'coord': {'lon': -40.12, 'lat': -2.8856}, 'weather': [{'id': 502, 'main': 'Rain', 'description': 'heavy intensity rain', 'icon': '10d'}], 'base': 'stations', 'main': {'temp': 28.01, 'feels_like': 31.24, 'temp_min': 28.01, 'temp_max': 28.01, 'pressure': 1008, 'humidity': 74, 'sea_level': 1008, 'grnd_level': 1006}, 'visibility': 10000, 'wind': {'speed': 6.33, 'deg': 92, 'gust': 7.92}, 'rain': {'1h': 14.55}, 'clouds': {'all': 70}, 'dt': 1738521188, 'sys': {'country': 'BR', 'sunrise': 1738486034, 'sunset': 1738530067}, 'timezone': -10800, 'id': 3408368, 'name': 'Acaraú', 'cod': 200}"
22,amuntai,-2.4177,115.2494,22.77,84,100,0.65,ID,"{'coord': {'lon': 115.2494, 'lat': -2.4177}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 22.77, 'feels_like': 23.3, 'temp_min': 22.77, 'temp_max': 22.77, 'pressure': 1007, 'humidity': 84, 'sea_level': 1007, 'grnd_level': 1005}, 'visibility': 10000, 'wind': {'speed': 0.65, 'deg': 199, 'gust': 0.69}, 'clouds': {'all': 100}, 'dt': 1738521189, 'sys': {'country': 'ID', 'sunrise': 1738535185, 'sunset': 1738579147}, 'timezone': 28800, 'id': 1651461, 'name': 'Amuntai', 'cod': 200}"
23,ilulissat,69.2167,-51.1,-16.99,78,20,2.06,GL,"{'coord': {'lon': -51.1, 'lat': 69.2167}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}], 'base': 'stations', 'main': {'temp': -16.99, 'feels_like': -22.36, 'temp_min': -16.99, 'temp_max': -16.99, 'pressure': 988, 'humidity': 78, 'sea_level': 988, 'grnd_level': 983}, 'visibility': 10000, 'wind': {'speed': 2.06, 'deg': 140}, 'clouds': {'all': 20}, 'dt': 1738521190, 'sys': {'type': 1, 'id': 165, 'country': 'GL', 'sunrise': 1738500721, 'sunset': 1738520651}, 'timezone': -7200, 'id': 3423146, 'name': 'Ilulissat', 'cod': 200}"
24,al ghayzah,16.2079,52.176,19.77,41,10,2.3,YE,"{'coord': {'lon': 52.176, 'lat': 16.2079}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 19.77, 'feels_like': 18.87, 'temp_min': 19.77, 'temp_max': 19.77, 'pressure': 1018, 'humidity': 41, 'sea_level': 1018, 'grnd_level': 1014}, 'visibility': 10000, 'wind': {'speed': 2.3, 'deg': 284, 'gust': 2.07}, 'clouds': {'all': 10}, 'dt': 1738521191, 'sys': {'country': 'YE', 'sunrise': 1738465288, 'sunset': 1738506507}, 'timezone': 10800, 'id': 79700, 'name': 'Al Ghayzah', 'cod': 200}"
25,yellowknife,62.456,-114.3525,-29.69,76,20,4.63,CA,"{'coord': {'lon': -114.3525, 'lat': 62.456}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}], 'base': 'stations', 'main': {'temp': -29.71, 'feels_like': -36.71, 'temp_min': -29.71, 'temp_max': -29.69, 'pressure': 1035, 'humidity': 76, 'sea_level': 1035, 'grnd_level': 1012}, 'visibility': 10000, 'wind': {'speed': 4.63, 'deg': 290}, 'clouds': {'all': 20}, 'dt': 1738521071, 'sys': {'type': 1, 'id': 1007, 'country': 'CA', 'sunrise': 1738512133, 'sunset': 1738539602}, 'timezone': -25200, 'id': 6185377, 'name': 'Yellowknife', 'cod': 200}"
26,lompoc,34.6391,-120.4579,17.3,100,40,2.57,US,"{'coord': {'lon': -120.4579, 'lat': 34.6391}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}], 'base': 'stations', 'main': {'temp': 13.84, 'feels_like': 13.89, 'temp_min': 13.4, 'temp_max': 17.3, 'pressure': 1020, 'humidity': 100, 'sea_level': 1020, 'grnd_level': 1004}, 'visibility': 10000, 'wind': {'speed': 2.57, 'deg': 90}, 'clouds': {'all': 40}, 'dt': 1738521194, 'sys': {'type': 1, 'id': 4747, 'country': 'US', 'sunrise': 1738508339, 'sunset': 1738546327}, 'timezone': -28800, 'id': 5367788, 'name': 'Lompoc', 'cod': 200}"
27,gamba,-2.65,10.0,25.81,80,63,1.84,GA,"{'coord': {'lon': 10, 'lat': -2.65}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 25.81, 'feels_like': 26.54, 'temp_min': 25.81, 'temp_max': 25.81, 'pressure': 1008, 'humidity': 80, 'sea_level': 1008, 'grnd_level': 1004}, 'visibility': 10000, 'wind': {'speed': 1.84, 'deg': 221, 'gust': 2.42}, 'clouds': {'all': 63}, 'dt': 1738521195, 'sys': {'country': 'GA', 'sunrise': 1738474021, 'sunset': 1738518021}, 'timezone': 3600, 'id': 2400547, 'name': 'Gamba', 'cod': 200}"
28,pacific grove,36.6177,-121.9166,18.54,85,100,6.71,US,"{'coord': {'lon': -121.9166, 'lat': 36.6177}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 16.68, 'feels_like': 16.62, 'temp_min': 15.61, 'temp_max': 18.54, 'pressure': 1020, 'humidity': 85, 'sea_level': 1020, 'grnd_level': 1016}, 'visibility': 10000, 'wind': {'speed': 6.71, 'deg': 175, 'gust': 8.49}, 'clouds': {'all': 100}, 'dt': 1738521196, 'sys': {'type': 2, 'id': 2079694, 'country': 'US', 'sunrise': 1738508902, 'sunset': 1738546465}, 'timezone': -28800, 'id': 5380437, 'name': 'Pacific Grove', 'cod': 200}"
29,ushuaia,-54.8,-68.3,8.81,87,100,6.69,AR,"{'coord': {'lon': -68.3, 'lat': -54.8}, 'weather': [{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09d'}, {'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}], 'base': 'stations', 'main': {'temp': 8.81, 'feels_like': 5.51, 'temp_min': 8.81, 'temp_max': 8.81, 'pressure': 987, 'humidity': 87, 'sea_level': 987, 'grnd_level': 981}, 'visibility': 8000, 'wind': {'speed': 6.69, 'deg': 240}, 'rain': {'1h': 0.13}, 'clouds': {'all': 100}, 'dt': 1738521197, 'sys': {'type': 1, 'id': 8303, 'country': 'AR', 'sunrise': 1738486771, 'sunset': 1738542858}, 'timezone': -10800, 'id': 3833367, 'name': 'Ushuaia', 'cod': 200}"
30,miles city,46.4083,-105.8406,-9.46,85,100,5.66,US,"{'coord': {'lon': -105.8406, 'lat': 46.4083}, 'weather': [{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}], 'base': 'stations', 'main': {'temp': -9.46, 'feels_like': -16.46, 'temp_min': -9.46, 'temp_max': -9.46, 'pressure': 1019, 'humidity': 85, 'sea_level': 1019, 'grnd_level': 922}, 'visibility': 1207, 'wind': {'speed': 5.66, 'deg': 50}, 'clouds': {'all': 100}, 'dt': 1738521198, 'sys': {'type': 1, 'id': 4930, 'country': 'US', 'sunrise': 1738506309, 'sunset': 1738541341}, 'timezone': -25200, 'id': 5666176, 'name': 'Miles City', 'cod': 200}"
31,lebu,-37.6167,-73.65,18.61,75,12,3.65,CL,"{'coord': {'lon': -73.65, 'lat': -37.6167}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}], 'base': 'stations', 'main': {'temp': 18.61, 'feels_like': 18.48, 'temp_min': 18.61, 'temp_max': 18.61, 'pressure': 1015, 'humidity': 75, 'sea_level': 1015, 'grnd_level': 1011}, 'visibility': 10000, 'wind': {'speed': 3.65, 'deg': 275, 'gust': 4.44}, 'clouds': {'all': 12}, 'dt': 1738521199, 'sys': {'country': 'CL', 'sunrise': 1738491020, 'sunset': 1738541177}, 'timezone': -10800, 'id': 3883457, 'name': 'Lebu', 'cod': 200}"
32,nar'yan-mar,67.6713,53.087,-26.67,94,6,4.28,RU,"{'coord': {'lon': 53.087, 'lat': 67.6713}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': -26.67, 'feels_like': -33.67, 'temp_min': -26.67, 'temp_max': -26.67, 'pressure': 1042, 'humidity': 94, 'sea_level': 1042, 'grnd_level': 1040}, 'visibility': 10000, 'wind': {'speed': 4.28, 'deg': 51, 'gust': 8.72}, 'clouds': {'all': 6}, 'dt': 1738521200, 'sys': {'country': 'RU', 'sunrise': 1738474652, 'sunset': 1738496706}, 'timezone': 10800, 'id': 523392, 'name': 'Naryan-Mar', 'cod': 200}"
33,bereket,39.2446,55.5154,5.36,53,16,3.61,TM,"{'coord': {'lon': 55.5154, 'lat': 39.2446}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}], 'base': 'stations', 'main': {'temp': 5.36, 'feels_like': 2.53, 'temp_min': 5.36, 'temp_max': 5.36, 'pressure': 1026, 'humidity': 53, 'sea_level': 1026, 'grnd_level': 1005}, 'visibility': 10000, 'wind': {'speed': 3.61, 'deg': 98, 'gust': 3.92}, 'clouds': {'all': 16}, 'dt': 1738521201, 'sys': {'country': 'TM', 'sunrise': 1738466647, 'sunset': 1738503545}, 'timezone': 18000, 'id': 161974, 'name': 'Bereket', 'cod': 200}"
34,cape canaveral,28.4058,-80.6048,26.15,82,75,4.12,US,"{'coord': {'lon': -80.6048, 'lat': 28.4058}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 24.89, 'feels_like': 25.58, 'temp_min': 23.88, 'temp_max': 26.15, 'pressure': 1021, 'humidity': 82, 'sea_level': 1021, 'grnd_level': 1020}, 'visibility': 10000, 'wind': {'speed': 4.12, 'deg': 100}, 'clouds': {'all': 75}, 'dt': 1738521203, 'sys': {'type': 2, 'id': 2026198, 'country': 'US', 'sunrise': 1738498169, 'sunset': 1738537367}, 'timezone': -18000, 'id': 4149959, 'name': 'Cape Canaveral', 'cod': 200}"
35,faya-largeau,17.9257,19.1043,22.72,12,83,5.36,TD,"{'coord': {'lon': 19.1043, 'lat': 17.9257}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 22.72, 'feels_like': 21.36, 'temp_min': 22.72, 'temp_max': 22.72, 'pressure': 1013, 'humidity': 12, 'sea_level': 1013, 'grnd_level': 981}, 'visibility': 10000, 'wind': {'speed': 5.36, 'deg': 52, 'gust': 6.68}, 'clouds': {'all': 83}, 'dt': 1738521205, 'sys': {'country': 'TD', 'sunrise': 1738473359, 'sunset': 1738514312}, 'timezone': 3600, 'id': 2432678, 'name': 'Faya-Largeau', 'cod': 200}"
36,hawaiian paradise park,19.5933,-154.9731,22.16,96,100,3.09,US,"{'coord': {'lon': -154.9731, 'lat': 19.5933}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 20.04, 'feels_like': 20.61, 'temp_min': 19.85, 'temp_max': 22.16, 'pressure': 1017, 'humidity': 96, 'sea_level': 1017, 'grnd_level': 1011}, 'visibility': 10000, 'wind': {'speed': 3.09, 'deg': 330}, 'clouds': {'all': 100}, 'dt': 1738521021, 'sys': {'type': 2, 'id': 2087107, 'country': 'US', 'sunrise': 1738515261, 'sunset': 1738555975}, 'timezone': -36000, 'id': 5855809, 'name': 'Hawaiian Paradise Park', 'cod': 200}"
